User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
1003888,Noor,P00242742,F,46-50,46,0,Balochistan,Western,Retail,Footwear & Shoes,2,20729
1006016,Umar,P00183742,F,46-50,50,0,Sindh,Southern,IT,Footwear & Shoes,4,20714
1000604,Raza,P00304642,F,46-50,49,0,Gilgit-Baltistan,Northern,Agriculture,Footwear & Shoes,4,20712
1000173,Ali,P00057642,F,26-35,29,1,Gilgit-Baltistan,Northern,Media,Tupperware,1,20707
1004284,Zainab,P00032042,F,51-55,53,0,Islamabad Capital Territory,Northern,IT,Footwear & Shoes,1,20705
1002994,Bilal,P00000142,F,36-45,42,0,Sindh,Southern,Education,Footwear & Shoes,2,20691
1004016,Saad,P00123842,M,51-55,51,1,Azad Jammu & Kashmir,North-Eastern,Engineer,Furniture,3,20689
1005788,Daniyal,P00130642,F,26-35,26,1,Azad Jammu & Kashmir,North-Eastern,Education,Footwear & Shoes,2,20688
1001184,Ahmed,P00146342,M,26-35,30,0,Khyber Pakhtunkhwa,North-Western,Education,Footwear & Shoes,4,20678
1000053,Muneeb,P00120442,F,26-35,33,1,Khyber Pakhtunkhwa,North-Western,Freelancer,Footwear & Shoes,4,20677
1002511,Sara,P00148642,M,26-35,34,0,Islamabad Capital Territory,Northern,IT,Furniture,1,20677
1004377,Sara,P00298942,M,26-35,26,0,Khyber Pakhtunkhwa,North-Western,Retail,Footwear & Shoes,3,20676
1005481,Mehwish,P00277642,F,46-50,46,0,Balochistan,Western,Govt,Furniture,1,20673
1003940,Hamza,P00159442,F,36-45,36,1,Balochistan,Western,Education,Footwear & Shoes,1,20669
1000687,Umar,P00344542,M,26-35,26,0,Punjab,Eastern,Retail,Tupperware,4,20668
1000889,Noor,P00021842,F,46-50,50,1,Azad Jammu & Kashmir,North-Eastern,IT,Footwear & Shoes,1,20668
1000167,Arham,P00322142,M,26-35,32,0,Punjab,Eastern,Business,Furniture,2,20666
1004972,Saad,P00249542,F,36-45,38,0,Punjab,Eastern,Healthcare,Footwear & Shoes,3,20665
1003094,Muneeb,P00223642,F,36-45,41,1,Khyber Pakhtunkhwa,North-Western,Freelancer,Footwear & Shoes,1,20664
1000157,Usman,P00117842,F,36-45,43,0,Gilgit-Baltistan,Northern,Healthcare,Footwear & Shoes,3,20661
1001015,Fatima,P00109842,M,36-45,40,0,Gilgit-Baltistan,Northern,Healthcare,Footwear & Shoes,3,20660
1003468,Arham,P00059442,F,26-35,26,1,Khyber Pakhtunkhwa,North-Western,Construction,Footwear & Shoes,2,20659
1002251,Hassan,P00337442,F,36-45,36,1,Khyber Pakhtunkhwa,North-Western,IT,Footwear & Shoes,1,20659
1005014,Zara,P00122442,F,46-50,50,0,Punjab,Eastern,Business,Tupperware,1,20659
1003085,Daniyal,P00267542,F,26-35,32,0,Gilgit-Baltistan,Northern,Retail,Footwear & Shoes,4,20657
1004112,Zainab,P00190242,F,46-50,47,1,Islamabad Capital Territory,Northern,Business,Footwear & Shoes,3,20654
1002592,Zainab,P00356842,F,51-55,51,0,Balochistan,Western,Engineer,Tupperware,2,20644
1001298,Zara,P00349142,F,36-45,36,0,Azad Jammu & Kashmir,North-Eastern,Freelancer,Footwear & Shoes,1,20642
1002537,Hassan,P00359242,M,36-45,42,1,Azad Jammu & Kashmir,North-Eastern,Engineer,Footwear & Shoes,4,20641
1005538,Iqra,P00269542,F,46-50,49,1,Punjab,Eastern,Engineer,Footwear & Shoes,1,
1000971,Bilal,P00016542,F,26-35,32,1,Azad Jammu & Kashmir,North-Eastern,Engineer,Footwear & Shoes,1,20628
1001103,Ayesha,P00334242,M,46-50,48,0,Balochistan,Western,Media,Tupperware,1,20627
1003081,Mehwish,P00218642,F,26-35,32,0,Balochistan,Western,Govt,Furniture,1,20623
1002164,Zainab,P00110942,M,36-45,41,0,Punjab,Eastern,Freelancer,Furniture,4,20622
1003635,Ali,P00273042,F,51-55,54,0,Punjab,Eastern,Retail,Footwear & Shoes,4,20620
1001030,Hania,P00162442,F,26-35,33,0,Gilgit-Baltistan,Northern,Construction,Footwear & Shoes,4,20619
1001029,Hamza,P00317842,F,26-35,30,0,Khyber Pakhtunkhwa,North-Western,Freelancer,Footwear & Shoes,3,20615
1003311,Taha,P00180442,F,26-35,29,0,Punjab,Eastern,Media,Footwear & Shoes,3,20608
1003416,Iqra,P00100642,F,26-35,27,1,Khyber Pakhtunkhwa,North-Western,IT,Furniture,4,20608
1004573,Daniyal,P00071442,M,51-55,51,1,Islamabad Capital Territory,Northern,Govt,Furniture,4,20607
1004179,Saad,P00100842,M,36-45,43,1,Islamabad Capital Territory,Northern,Textile,Furniture,1,20607
1005661,Ahmed,P00148042,M,26-35,31,0,Khyber Pakhtunkhwa,North-Western,Engineer,Tupperware,1,20606
1001736,Mehwish,P00227942,M,55+,72,1,Punjab,Eastern,Freelancer,Footwear & Shoes,2,20603
1003401,Noor,P00120342,F,36-45,39,0,Sindh,Southern,Agriculture,Footwear & Shoes,2,20602
1001835,Iqra,P00180642,F,26-35,31,0,Punjab,Eastern,Media,Footwear & Shoes,4,20600
1002899,Usman,P00193642,M,36-45,42,1,Punjab,Eastern,IT,Footwear & Shoes,1,20600
1002860,Ahmed,P00033942,F,36-45,40,0,Balochistan,Western,Freelancer,Footwear & Shoes,1,20598
1004362,Ahmed,P00015742,F,26-35,26,1,Islamabad Capital Territory,Northern,Business,Footwear & Shoes,3,20598
1001147,Sara,P00296642,F,26-35,27,0,Balochistan,Western,Govt,Tupperware,3,20598
1004953,Raza,P00015542,F,36-45,39,0,Azad Jammu & Kashmir,North-Eastern,Education,Furniture,3,20595.99
1005884,Hamza,P00112542,F,18-25,25,1,Sindh,Southern,Textile,Furniture,2,20594
1002765,Hania,P00127942,F,51-55,55,0,Balochistan,Western,Healthcare,Footwear & Shoes,2,20589
1005140,Zainab,P00157642,F,26-35,29,0,Azad Jammu & Kashmir,North-Eastern,Education,Footwear & Shoes,1,20588
1004161,Ayesha,P00265242,F,46-50,50,1,Gilgit-Baltistan,Northern,Healthcare,Furniture,1,20588
1003697,Ayesha,P00250342,F,26-35,30,0,Sindh,Southern,IT,Footwear & Shoes,4,20586
1002041,Ayesha,P00115142,M,26-35,31,1,Khyber Pakhtunkhwa,North-Western,Construction,Furniture,3,20586
1003726,Taha,P00274042,F,26-35,34,1,Balochistan,Western,Freelancer,Footwear & Shoes,2,20581
1001803,Muneeb,P00249642,F,26-35,33,1,Punjab,Eastern,Construction,Footwear & Shoes,2,20579
1005814,Sara,P00113442,M,26-35,30,1,Sindh,Southern,Construction,Furniture,4,20573
1004901,Taha,P00120242,F,26-35,29,0,Gilgit-Baltistan,Northern,Business,Footwear & Shoes,4,20572
1003958,Bilal,P0096942,F,46-50,49,0,Balochistan,Western,Retail,Footwear & Shoes,3,20570
1003563,Laiba,P00249842,F,26-35,34,0,Sindh,Southern,Media,Furniture,4,20570
1002793,Hiba,P00207742,F,36-45,42,1,Punjab,Eastern,Engineer,Tupperware,3,20569
1003283,Laiba,P00233542,M,36-45,38,1,Azad Jammu & Kashmir,North-Eastern,Construction,Footwear & Shoes,3,20566
1001941,Hamza,P00184942,M,36-45,26,1,Sindh,Southern,Freelancer,Footwear & Shoes,4,20559
1004279,Usman,P00032142,F,26-35,28,1,Azad Jammu & Kashmir,North-Eastern,Engineer,Furniture,1,20558
1001181,Mehwish,P00278642,F,36-45,40,1,Gilgit-Baltistan,Northern,Agriculture,Footwear & Shoes,1,20553
1003211,Laiba,P00211242,M,51-55,54,0,Islamabad Capital Territory,Northern,Engineer,Furniture,4,20550
1000216,Iqra,P00323042,F,46-50,47,1,Sindh,Southern,Business,Footwear & Shoes,2,20549
1003618,Ahmed,P00233442,M,18-25,19,0,Azad Jammu & Kashmir,North-Eastern,Govt,Footwear & Shoes,2,20548
1004354,Sana,P00153142,F,36-45,41,0,Gilgit-Baltistan,Northern,Construction,Footwear & Shoes,3,20547
1000793,Ayesha,P00068042,M,36-45,41,0,Balochistan,Western,Textile,Furniture,1,20546
1003690,Hamza,P0099242,F,18-25,24,0,Gilgit-Baltistan,Northern,Agriculture,Footwear & Shoes,4,20544
1004122,Arham,P00118142,F,18-25,23,0,Balochistan,Western,Media,Furniture,1,20543
1003503,Noor,P00344842,F,18-25,25,0,Balochistan,Western,Freelancer,Furniture,3,20540
1002852,Ahmed,P00123142,F,26-35,29,0,Sindh,Southern,Healthcare,Footwear & Shoes,2,20537
1001004,Iqra,P00036342,M,26-35,34,0,Azad Jammu & Kashmir,North-Eastern,IT,Footwear & Shoes,1,20536
1000390,Taha,P00319042,M,26-35,29,0,Islamabad Capital Territory,Northern,Construction,Footwear & Shoes,4,20536
1003099,Laiba,P00127542,F,26-35,26,0,Balochistan,Western,Freelancer,Footwear & Shoes,2,20536
1002201,Umar,P00127642,F,55+,83,1,Gilgit-Baltistan,Northern,Agriculture,Furniture,1,20533
1002271,Bilal,P00193542,F,51-55,55,0,Gilgit-Baltistan,Northern,Media,Tupperware,1,20529
1004327,Iqra,P00153842,F,36-45,37,1,Sindh,Southern,Media,Footwear & Shoes,4,20525
1001835,Arham,P00304942,F,26-35,34,1,Islamabad Capital Territory,Northern,Agriculture,Footwear & Shoes,4,20516
1003475,Zara,P00227942,M,26-35,29,1,Balochistan,Western,Govt,Footwear & Shoes,4,20515
1001613,Umar,P00173342,F,18-25,23,1,Islamabad Capital Territory,Northern,Media,Footwear & Shoes,1,20512
1005680,Hassan,P00277642,F,51-55,51,1,Azad Jammu & Kashmir,North-Eastern,Healthcare,Footwear & Shoes,1,20511
1004979,Mehwish,P00346042,F,36-45,39,1,Balochistan,Western,Govt,Footwear & Shoes,1,20509
1004819,Mariam,P00269642,F,36-45,41,1,Sindh,Southern,Engineer,Footwear & Shoes,1,20508
1003580,Sara,P00018042,M,18-25,20,1,Azad Jammu & Kashmir,North-Eastern,Govt,Footwear & Shoes,1,20508
1001861,Raza,P00295842,F,51-55,52,0,Punjab,Eastern,Media,Footwear & Shoes,2,20508
1001618,Hamza,P00109742,M,51-55,53,0,Balochistan,Western,Education,Footwear & Shoes,4,20505
1002330,Daniyal,P00129842,F,46-50,48,0,Balochistan,Western,Retail,Footwear & Shoes,4,20503
1004013,Hamza,P00182242,F,26-35,31,1,Sindh,Southern,Media,Footwear & Shoes,2,20502
1005178,Ahmed,P00346142,F,51-55,55,0,Balochistan,Western,Education,Footwear & Shoes,3,20502
1001162,Noor,P00057742,M,36-45,40,1,Punjab,Eastern,IT,Footwear & Shoes,4,20501
1004680,Arham,P00215542,F,36-45,45,0,Sindh,Southern,Textile,Footwear & Shoes,1,20500
1005108,Mariam,P00158742,M,26-35,26,0,Gilgit-Baltistan,Northern,Media,Furniture,4,20495
1005446,Ali,P00059442,M,51-55,52,0,Islamabad Capital Territory,Northern,Agriculture,Furniture,1,20494
1002181,Daniyal,P00363342,F,26-35,27,1,Balochistan,Western,Govt,Footwear & Shoes,1,20493
1004485,Raza,P00339842,F,26-35,35,0,Sindh,Southern,Textile,Furniture,2,20492
